,0
138,uk money market given mln stg assist bank england said gave money market assist worth mln stg afternoon buy bank bill rate establish monday bank bought mln stg band one bill pct mln stg band two paper pct first time interven today bank revis estim liquid shortag market mln stg mln initi
139,canada gdp rise pct canada real gross domest product season adjust rose pct fourth quarter growth previou quarter statist canada said left growth full year pct four pct increas rise also slightli pct growth rate financ minist michael wilson predict februari budget also forecast gdp would rise pct statist canada said final domest demand rose pct final three month year pct gain third quarter busi invest plant equip rose pct fourth quarter partli revers cumul drop pct two previou quarter
140,taiwan issu cd curb money suppli growth central bank issu billion dlr worth certif deposit cd bring valu cd issu far year billion bank spokesman told reuter new cd matur six month one year two year carri interest rate rang pct issu design help curb growth mb money suppli expand along taiwan foreign exchang reserv spokesman said reserv reach record high billion u dlr wednesday
141,lennar see strong earn year lennar corp chairman presid leonard miller said current backlog order strong economi point strong revenu earn balanc fiscal said compani backlog sale deposit feb increas unit previou year lennar record net earn first quarter ct per share compar ct per share prior first quarter record net earn mln dlr dlr per share fiscal compani also said april annual meet sharehold vote increas compani author common stock mln share mln includ mln share common stock mln share class b common stock ad sharehold elect convert share class b stock entitl vote per share sharehold retain one vote per share lennar said compani said approv intn pay holder class b stock quarterli cash dividend five ct per share holder common stock quarterli cash dividend six ct per share
142,ropak pct buckhorn ropak corp said receiv accept common share seri convert prefer share buckhorn inc four dlr dlr respect respons tender offer expir friday own pct buckhorn vote power compani own common prefer share start hostil tender ropak said borrow fund need buy buckhorn share bank lender need use fund anoth bank commit provid margin loan ropak said waiv minimum accept requir buy share intend evalu number possibl way complet acquisit buckhorn said hope buckhorn board reevalu posit enter meaning negoti
143,trustco inc th qtr net shr ct v nine ct net v rev given year shr dlr v ct net v rev mln v mln note shr prefer dividend
144,corpor softwar inc rd qtr net shr ct v ct net v rev mln v avg shr v nine mth shr ct v ct net v rev mln v mln avg shr v note includ extraordinari credit six ct per shr qtr ct per shr nine mth
145,dutch sugar trade deni involv offer dutch sugar trader deni involv plan offer tonn sugar intervent protest ec export polici price trader told reuter although tonn sugar offer intervent netherland dutch produc trader said sugar actual belgian offer belgian industri sympathis action french west german belgian trader produc parti spokesman said ec commiss sourc said yesterday french trader plan sell tonn intervent stock west german trader tonn dutch trader dutch trade sourc gave figur franc estim tonn offer german trader produc dutch spokesman ad weekli export tender polici price squeez european sugar industri way realli regist protest desper action believ offer sugar withdrawn within threeweek breath space allow
146,tiecommun renew agreement tiecommun inc said renew agreement sell gte corp bell atlant corp nynex corp u west inc two year compani provid small midsiez key telephon system gte key system hybrid data star pabx system other
147,cpc intern inc regular dividend qtli div ct v ct prior pay april record march
148,ph glatfelt acquir ecusta ph glatfelt co said reach agreement acquir capit stock corp dlr cash glatfelt print write paper maker said ecusta oper uncod three sheet lightweight specialti paper mill pisgah forest nc mill produc convert paper product use doemstic foreign tobacco industri glatfelt said expect close deal may
149,nation bank new zealand ltd year decemb net profit mln nz dlr v mln pretax profit mln v mln total asset billion v billion note compani pct own lloyd bank plc result includ time first pretax profit mln nz dlr australian unit bank nza ltd
150,reason cut rate bundesbank schlesing bundesbank vice presid helmut schlesing said saw reason lower interest rate money suppli growth show sign slow may dollar stabl even rise mark schlesing told reuter convinc cut interest rate need economi pick contract season adjust one pct first quarter fourth ad may increas gnp start second quarter said interview concern first quarter downturn u press west germani pump economi boost import either fiscal monetari polici schlesing said contract first quarter mainli due advers weather condit occur yearonyear growth thu two pct estim econom growth year whole would probabl one two pct question monetari condit domest demand grow strongli said note interest rate histor low level fund ampl schlesing said saw sign central bank money stock growth slow recent yearonyear pace eight pct well bundesbank three six pct target said target could still achiev much depend direct longterm capit flow heavi inflow particularli januari around time em revalu boost domest money suppli still certain hope net inflow foreign money diminish even littl bit revers schlesing said major reason inflow market convict mark head higher see market expect revalu deutschemark diminish schlesing said recent widen interest rate differenti fact dollar fallen sharpli short period improv real trade balanc combin toward stabil dollar said ask central bank might act prevent sharp dollar rise u march dollar rose mark said would depend circumst midday dollar stood mark central bank alway contact fluctuat cannot give answer would react schelsing said one look market move said ad case also american case said west german export industri hit hard dollar sharp fall would probabl like see correct wouldnt good shortterm fluctuat said let u wait see mainli strength dollar fall short period littl bit shock level rate schlesing said sharp rise mark coupl weak price key commod oil favour impact west german inflat year although recent sign inflat pick said due chang key commod price underli inflat rate year would unchang one pct said schlesing said problem rapid money suppli growth longer term economi build potenti possibl eventu resurg inflat abovetarget growth money suppli past month prompt discuss use target matter might taken midyear meet bundesbank council schlesign said ad dont see great pressur go away
151,al laboratori inc th qtr net shr ct v ct net v rev mln v mln mth shr ct v ct net v rev mln v mln note net qtr yr adjust reflect retroact effect threefortwo stock split distribut sharehold juli august net includ result oper parm pharmaceut inc acquir may
152,concern el nino peru usda report heighten fear el nino may return peru intens approach disast affect weather sever contin caus widespread damag flood drought u agricultur depart offic lima said field report continu heavi rain northern coastal area flood sever major river mud slide led increas concern report date march said howev said offici sourc still believ year el nino weak moder intens el nino phenomenon involv shift wind water pacif usda report said far el nino experienc overal neg impact agricultur product excess rain piura pima cotton area may reduc yield pct due excess growth earli crop cycl also insect damag crop could extens excess moistur exist said howev el nino result much improv suppli irrig water major dam improv prospect mani crucial crop rice corn slow declin sugar product said el nino pick momentum peru fish industri could receiv setback trade sourc still believ fish catch industri process reach mln tonn almost pct last year report said water temperatur northern fish area three four degre centigrad normal still high enough drive fish cooler southern water said said still outsid chanc el nino intensifi carri late march april may caus problem crop approach harvest appear way project cours el nino time tell report said
153,gatt set disput panel canadian her rule gatt council set formal disput panel examin u complaint canadian law prohibit export unprocess her salmon discriminatori david wood offici spokesman gener agreement tariff trade gatt told news brief decis taken bilater consult fail resolv row u ambassador michael samuel charg council debat canada tri preserv domest job insist her salmon process home robert white canada deputi chief deleg repli law line gatt rule conserv reason agre set disput panel
154,central bank system inc qtli dividend qtli div ten ct v ten ct pay april record april
155,armtek sell tire truck tire busi armtek corp formerli known armstrong rubber co said sign agreement corp sale natchez miss tire plant truck tire sale servic corp term disclos armtek spokesman john siever said mln dlr busi earlier week armtek announc sale industri tire assembl busi divis dyneer corp scotsdal ariz cash proce sale use reduc outstand debt long term suppli agreement conder anticip truck tire produc natchez plant suppli armstrong tire co armtek oper compani compani said close schedul conclud march said
156,german financ ministri confid maintain currenc stabil around current level spokesman german financ ministri confid maintain currenc stabil around current level spokesman
157,bull bear group inc year end dec shr loss ct v profit ct net loss v profit rev v
158,manag group restaur major restaur associ industri inc said manag group led chairman martin brodi presid max pine octob receiv class class b share respons tender offer share dlr give thema major class share compani said tender extend novemb
159,opec want dlr oil price oapec offici opec belief world oil price set around fix averag price dlr barrel oapec assist gener secretari abdelaziz alwattari said speech european communityoapecopec seminar luxembourg releas alwattari said opec belief world energi trade kept without restrict built around fix averag price dlr alwattari note total opec output organ agre ceil member countri februari although meant sacrific effect sacrific meant market stabil though restor good level still pressur alwattari said last stabil world market requir wider scope intern cooper said
160,toy r u inc th qtr feb one net shr ct v ct net mln v mln rev billion v mln mth shr dlr v ct net mln v mln rev billion v billion note net restat reflect threefortwo stock split june
161,japan expect cut base rate state bodi japan expect cut base lend rate state financi institut pct part recent pact major industri nation pari financ ministri sourc said said cut base revis trust fund bureau law approv parliament march abolish pct minimum interest rate deposit bureau bureau channel fund govern financi institut public work offici us said base lend rate state bodi japan develop bank peopl financ corp financ corpor local public enterpris usual move tandem longterm prime rate sourc said howev imposs follow last cut pct pct januari trust fund bureau rate legal set pct ministri abolish minimum rate introduc marketrel one resolv problem stimul domest economi said tuesday ministri allow longterm banker cut prime record low pct effect februari move suggest reach agreement depositor use bureau postal save system post telecommun ministri japan welfar annuiti ministri health welfar sourc said ministri tri determin market rate consid set bureau deposit rate ministri sourc said coupon rate new year govern bond minu percentag point likeliest choic ad
162,bp oil rais oper profit oil ltd uk market refin arm british petroleum co plc rais pretax oper profit replac cost basi mln stg calendar compar mln stg sale oper revenu fell billion stg billion replac cost basi histor cost oper profit mln stg mln bp oil said profit depress except item profit figur state interest charg chief execut david kendal said improv result mirror benefit restructur program undertaken recent year howev warn futur financi pressur industri sever uk oil market refin industri need invest larger sum probabl around mln stg year good mani year said statement
163,ec commiss reject sugar threat sourc european commun commiss told ec member state prepar discu ec sugar price sugar trader threaten make huge sale intervent stock protest polici commiss sourc said posit will discu problem market price time trader make threat one sourc said sourc said commiss view made clear meet sugar manag committe today said french west german dutch offici inform committe trader countri intend sell tonn sugar ec intervent stock commiss ripost signal would sell sugar sold intervent back onto ec market tender move would push price sourc said french trader plan sell tonn intervent stock west german trader tonn dutch trader
164,volvo group compani propos twoforf issu catena ab volvo pct stake said propos twoforf stock issu rais compani equiti capit mln crown mln catena report profit financi incom cost mln crown mln despit increas sale billion crown billion compani said perform best reflect earn writeoff rose mln mln catena increas sale mainli due takeov safvean ab februari chang busi profil catena princip oper volvo dealer safvean acquisit mainli trade industri compani decemb catena sold share stockbrok firm jacobson och ponsbach fondkommiss ab yield profit mln crown reflect catena pretax earn rose mln crown mln
165,uniforc temporari set split uniforc temporari personnel inc said declar threefortwo stock split payabl may stockhold record april
166,bindley western industri inc qtr net oper shr primari ct v ct oper shr dilut ct v ct oper net v rev mln v mln avg shr primari v avg shr dilut mln v mln year oper shr primari ct v ct oper shr dilut ct v ct oper net v rev mln v mln avg shr primari v avg shr dilut mln v note rev includ invest incom dlr v dlr qtr mln dlr v dlr mth rev also includ unreal loss equiti secur dlr qtr dlr mth oper net exclud extraordinari gain dlr v dlr qtr dlr v dlr mth
167,pansoph system split stock pansoph system inc said split stock twoforon effect april two sharehold record march also said pay six ct per share dividend presplit share regular quarterli dividend april two sharehold record march
168,lindner tell sec talk taft seek control compani lindner tell sec talk taft seek control compani
169,broker secur inc th qtr loss shr loss ct v profit ct net loss v profit rev v avg shr v year shr profit seven ct v profit ct net profit v profit rev v avg shr v note yearago net includ extraordinari gain qtr year
170,acm electr corp st qtr oct two shr ct v four ct qtli div eight ct v eight ct net v rev mln v mln note st qtr adjust five pct stock dividend pain march qtli dividend payabl decemb seven sharehold record novemb nine
171,bpi system talk sell compani bpi system inc said hold discuss could lead sale outstand share mln dlr bpi presid chief execut offic david r fernald declin identifi parti involv talk nine month end decemb bpi lost dlr sale dlr
172,group ltd th qtr net shr ct v ct net mln v mln rev mln v mln year shr dlr v dlr net mln v mln rev billion v billion avg shr v
173,glaxo pretax profit mln stg v mln six month enddecemb glaxo pretax profit mln stg v mln six month enddecemb
174,pentagon say u warship begin escort gulf tanker convoy south kuwait pentagon say u warship begin escort gulf tanker convoy south kuwait
175,malaysia manufactur export rise pct malaysia manufactur export rose pct billion ringgit chairman export promot council ahmad sarji abdul hamind said improv export perform led electr electron product textil footwear cloth process food timber chemic rubber product told news confer howev total gross export year declin pct billion ringgit billion due fall major commod export weak price said
176,best product co inc th qtr shr dlr v ct best product co inc th qtr shr dlr v ct
177,elcor corp rd qtr march shr ct v eight ct net mln v rev mln v mln nine month shr dlr v ct net mln v mln rev mln v mln noteshar adjust stock split payabl may holder record may rd qtr nine month includ tax loss carryforward gain dlr mln dlr respect rd qtr nine month includ tax loss carryforward gain dlr mln dlr respect
178,uk money market given mln stg help bank england said provid money market mln stg assist afternoon bring total help today mln stg compar liquid shortag estim revis one billion stg bank bought mln stg band two bank bill outright pct mln stg band one bank bill pct addit bought four mln stg bill resal market march two mln stg resal april common interest rate pct
179,u senat propos ban toshiba import three u senat said propos temporari ban import toshiba product due compani illeg sale sensit hightechnolog good soviet union senat jake garn john heinz richard selbi said hear senat bank committe export control offer propos part major trade bill brought senat summer garn utah republican said talk specif retribut compani endang secur countri
180,contel buy walker counti telephon contel corp said agre principl acquir counti telephon co lafayett ga undisclos amount common stock walker custom northeast georgia compani said agreement subject approv regulatori agenc board walker sharehold
181,bank japan interven tokyo open bank japan interven tokyo buy dollar market open dealer said dollar open yen new york close yesterday bank step market amid sell pressur interbank dealer dealer said
182,uk money market deficit remov bank england said satisfi revis estim today shortfal money market provid mln stg assist afternoon oper bank bought band one mln stg bank bill pct band two mln stg bank bill one mln stg treasuri bill pct bring total help far today mln stg compar deficit estim mln stg
183,bank england drain money market liquid bank england said drain liquid money market sold mln stg treasuri bill due march rate pct earlier bank estim surplu around mln stg system today
184,gateway feder save rd qtr net shr ct v given net v given nine mth shr dlr v given net v given note full name gateway feder save loan associ latest qtr includ tax credit dlr cent share latest nine mth includ tax credit dlr dlr figur given compani went public june
185,uk reserv rise underli billion dlr may billion april offici uk reserv rise underli billion dlr may billion april offici
186,pearson plc yr end dec shr p v p final div p make p v p pretax profit mln stg v mln net profit minor mln stg v mln turnov mln v mln preinterest profit mln v mln net interest mln v mln tax mln v mln minor interest mln v mln extraordinari debit mln v credit mln note extraordinari debit reflect full provis discontinu financi time print oper bracken hous partli offset gain dispos
187,pacif light copr quarterli dividend qtli div ct v ct pay feb record jan
188,investor increas stake frost sullivan one pair privat investor frost sullivan inc told secur exchang commiss increas stake firm two pct pct theodor cross princeton nj editor busi societi review investor mason slain co cob mass presid dealer digest inc hold pct stake cross told sec bought new share dlr
189,talk pointgencorp inc surpris billiondlr tender offer ohiobas conglomer gencorp inc enough buy compani analyst said analyst estim dlrpershar offer gener partner dlr per share breakup valu gencorp howev market sourc analyst said uncertainti surround transact legal challeng gencorp broadcast licens gencorp stock rose heavi trade expect either someon els bidder sweeten offer hope get manag cooper said larri baker analyst ef hutton group analyst said concern challeng gencorp broadcast licens two televis radio station disput date back year brought group alleg improp foreign payment polit contribut think kind muddi alreadi muddi situat said baker offer arbitrag said concern ongo issu might stumbl block result long period time transact sourc close gener partner howev said gener partner would appli feder commun commiss special temporari author hold broadcast station sourc said approv author would allow transact carri receiv shortform approv gener partner would set trust would hold broadcast properti licens situat resolv gener partner equal own investor wagner brown glassmak afg industri inc market sourc specul outsid buyer gener partner might even catalyst resolut challeng sinc would carri gencorp plan sell station gencorp earlier month reach agreement walt disney co sell lo angel televis station whjtv disney would pay mln dlr gencorp mln dlr group challeng station licens gencorp also pend agreement sell wortv secaucu nj mca inc mln dlr gener partner said intend keep compani plastic industri product busi tire relat product segment charl rose analyst oppenheim co said breakup valuat compani might worth much dlr per share rose estim aerospac busi could bring dlr per share one billion dlr would diversitech plastic unit broadcast includ asset pend sale might dlr per share said compani formerli known gener tire rubber co also tire busi rose estim would worth five dlr per share estim bottl busi might also worth sever dollar per share said analyst said gencorp chairman william reynold becam chairman last year emphas compani aerojet gener diversitech gener busi gencorp found becam unfocus conglomer year analyst believ reynold help improv manag fine job tri deal nonstrateg asset compani rose said analyst expect gencorp resist tender offer declin predict step compani might take said would possibl compani might consid leverag buyout restructur fend offer gener partner hold pct gencorp stock concern greenmail greenmail payment premium unwant sharehold stock would doubt would greenmail noth surpris anymor said rose gencorp comment offer retain first boston corp kidder peabodi co advis
190,hk bank expect post pct profit rise hongkong shanghai bank corp like show rise profit pct reflect stronger expect loan growth share analyst poll reuter said estim bank net earn last year rang billion hk dlr result announc tuesday net profit billion forecast final dividend cent total cent year cent adjust oneforf bonu issu analyst said expect bank recommend bonu issu year probabl one three one five bank pct subsidiari hang seng bank ltd report result friday analyst expect hang seng announc net profit one billion dlr first time increas pct expect hang seng pay final dividend dlr total dlr year analyst said use undisclos inner reserv bank make forecast imprecis hongkong bank benefit unexpect strength hong kong economi gross domest product grew nearli nine pct initi forecast pct benefit consider pickup loan demand loan portfolio well balanc analyst mansion hous secur fe ltd said govern figur show total loan advanc rose pct compar pct increas loan financ hong kong visibl trade mainstay local economi rose pct declin five pct low interest rate also help bank interest receiv loan low prime rate pct end interest paid save two pct hongkong bank hang seng bank control half deposit bank system give access larg base lowcost fund strength realest market anoth major incom sourc bank group loan financ properti develop instal mortgag rose sharpli hongkong bank group still leader mortgag busi despit tough competit bank china group foreign bank one analyst said high level activ capit equiti market contribut sharp improv hongkong bank subsidiari wardley ltd capel co analyst said wardley tremend year act financi advis underwrit analyst said wardley underwrit last year billiondlr flotat pacif airway ltd hongkong bank own pct time bank stake sinc cut pct return billion dlr also sold entir pct stake china morn post ltd larger two englishlanguag daili newspap billion dlr proce go reserv acquisit show profit loss account analyst said analyst said bank also help reduc need write bad debt need provis much lower year said toni measor hong leong secur co ltd last year profit billion dlr huge provis former hongkong bank chairman michael sandberg said bank wrote hundr million dollar ship exposur lesley nickold counti secur asia ltd said saw major ship writeoff forecast profit billion dlr bank latin american exposur mainli pct own marin midland bank inc appear improv substanti analyst said marin midland fourthquart loanloss provis fell mln u dlr mln year net profit rose mln u dlr mln
191,intermetco ltd six mth april net shr ct v ct net v rev mln v mln
192,ltd see gain sale atco ltd said atco develop unit agre sell canadian util center edmonton alberta canadian western center calgari sale togeth previouslyannounc sale atco australian oper gross mln dlr result aftertax gain mln dlr reflect atco fiscal year result fiscal year end march compani said addit sale produc mln dlr cash debt reduct mln dlr atco said
193,winterhalt holder okay takeov winterhalt inc said sharehold approv dlr acquisit winterhalt interfac system inc acquisit would ct per winterhalt share
194,cheyenn buy interest properti cheyenn resourc inc said purchas interest four produc oil ga properti share compani restrict stock largest interest pct oil ga well weld counti colo compani said cheyenn said five pct le interest three properti cheyenn said realiz dlr net incom monthli properti current product level
195,paton report u green coffe roast higher u roast green coffe week end april kilo bag includ use solubl product compar bag correspond week last year bag week end march georg gordon paton co inc report said cumul roast calendar total bag compar bag time last year
196,sanford corp st qtr feb net shr ct v ct net v sale mln v mln
197,alto comput system st qtr net period end septemb shr ct v ct net mln v mln sale mln v mln
198,trump interst talk alexand donald trump interst properti said hold preliminari discuss regard possibl joint acquisit alexand inc dlr per share possibl acquisit subject applic real estat gain transfer tax joint statement said trump interst present pct alexand common stock said intend keep compani retail suc acquisit assur parti reach agreement regard acquisit price might offer statement said
199,usda say wheat purchas foreign seller u agricultur depart said privat u export report purchas foreign seller tonn wheat deliveri unknown destin wheat consist tonn hard red winter tone soft red winter deliveri season begin june purchas foreign seller transact u export contract buy usproduc commod foreign firm depart said
200,horn hardart co th qtr net shr dlr v two ct net mln v rev mln v mln avg shr mln v mln year shr loss dlr v loss ct net loss mln v loss rev mln v mln avg shr mln v mln note net period includ mln dlr gain sale real estat year net includ charg mln dlr restructur bojangl restaur unit charg dlr exchang note common stock year net includ charg dlr relat foodservic unit gain dlr sale market secur
201,fw woolworth co hike dividend qtli div ct v ct prior pay june record may
202,industri equiti pct triton group firm led hong kongbas industri equiti pacif ltd said acquir share triton oil corp common stock pct compani common stock outstand industri equiti pacif control brierley invest ltd appli u antitrust regul buy pct triton common stock said current pct stake acquir invest purpos compani said inform triton present good faith intent buy mln dlr worth triton stock said also told triton may depend market condit acquir pct possibl pct vote secur triton said receiv clearanc buy pct stock septemb industri equiti pacif report bought share triton common stock octob dlr share
203,first boston start allegheni bid first boston inc said start previouslyannounc tender offer common share dlr cumul prefer share dlr convert prefer share allegheni intern inc dlr dlr dlr respect newspap advertis compani said offer withdraw rioght expir april nine unless extend offer condit receipt least major allegheni vote power fulli dilut basi receipt least two third prefer prefer share merger approv allegheni board remain common prefer prefer share would acquir tender price follow offer receipt minimum amount offer would give first boston suffici vote power assur approv merger without affirm vote sharehold compani said
204,levon resourc gold assay improv levon resourc ltd said recheck gold assay howard tunnel congress british columbia properti yield higher gold grade report januari februari said assay zone one averag ounc gold ton foot section averag width foot levon previous report zone averag ounc gold ton foot section averag width foot levon said recheck assay zone two averag ounc gold ton foot section averag width foot levon resourc said revis zone two assay compar previous report averag ounc gold ton foot section averag width foot compani also said intersect anoth vein foot west zone two assay ounc gold ton across width foot
205,uk wheat market ea intervent releas uk domest wheat market drop one stg per tonn earli morn follow overnight news ec releas tonn wheat british intervent store home market three month period april deliveri denatur wheat offer east anglia stg may stg per tonn one stg yesterday trade rate market expect uk wheat futur show similar loss today open
206,reagan seek romania trade concess presid reagan call continu nondiscriminatori treatment romanian export unit state face congression opposit bucharest govern record human right white hous statement said reagan decis press continu socal favor nation mfn statu romania except difficult came option serious consid statement said despit concern human right abus bucharest govern presid decid continu help stimul emigr romania gave unit state influenc human right practic statement issu reagan sent congress request oneyear extens mfn romania hungari china hous repres attach trade bill legisl would temporarili deni mfn romania pend certif reagan countri made progress human right controversi continu mfn hungari china
207,newhal invest properti rd qtr shr dlr v ct net v nine mth shr dlr v dlr net mln v mln note current quarter figur includ gain mln dlr properti sale v gain mln prior year quarter current nine month figur includ gain mln dlr properti sale v gain mln dlr
208,commun bank system inc st qtr net shr ct v ct net v note share adjust twoforon stock split may
209,british telecom rd qtr end dec shr p v p make p v p nine month pretax profit mln stg v mln make billion stg v billion net profit minor mln v mln make mln v mln note compani full name british telecommun plc third quarter turnov billion stg v billion make billion v billion nine month oper profit mln v mln make billion v billion net interest payabl mln v mln make mln v mln tax mln v mln make mln v mln minor nil v nil make two mln v nil
210,pennzoil see lower st qtr net unusu item year ago loss ct pennzoil see lower st qtr net unusu item year ago loss ct
211,philippin coconut chief lobbi ec tax philippin coconut author pca chairman jose romero said would visit brussel later month lobbi propos pct european commun ec levi veget oil import intend visit brussel talk whoever put devilish scheme impoverish third world countri like philippin romero said interview said know much support levi within ec said believ origin oppos tax pressur chang posit romero said group ec member led west germani netherland denmark norway oppos tax danger would persuad chang side happen opposit could crumbl romero said anoth threat export lay ec warn copra meal cake use livestock feed contain danger level aflatoxin carcinogen chemic said ec standard part aflatoxin per million part meal ec countri ask appli octob rigid said philippin copra cake contain much higher level aflatoxin aflatoxin come mould develop copra properli dri ground romero said would tell big buyer copra meal london philippin best meet ec standard also tri elimin aflatoxin total like take sever year research copra meal export tonn pct total coconut export meal worth mln dlr romero said would also visit oxford univers depart agricultur econom discu way avoid copra process altogeth way produc coconut product outsid copra romero said process fresh coconut without dri meat sun wet process process coconut food nonfood product go chemic root said tendenc agricultur countri becom protectionist expect export price coconut product drop long term get le le product im comfort said countri like indonesia malaysia step product palm oil coconut oil substitut palm oil output risen nearli pct sinc romero said add u soybean associ spend billion dollar discredit palm oil coconut oil say polysatur fat bad heart said romero said expect coconut product export price stay rest year would probabl touch high centspound current level cent sharp rise yearago level cent romero said philippin end fiveyear coconut product cycl show product tend fall two success year good harvest said good harvest year add product fall drought affect output trader stock overbought price start declin sure way keep price stabl process ad valu said coconut farmer encourag intercrop plant cash crop coconut tree said typic farm may tree sit squar metr land that lot space romero said said govern propos land reform program would exclud pct coconut farmer le propos sevenhectar land idea land reform increas incom level product employ wont happen said pca figur show onethird countri popul depend coconut industri coconut plant mln hectar onefourth total agricultur land
212,two brazilian ship firm settl striker two small ship compani reach pay deal strike seaman union leader said brazil seaman still strike union spokesman rio de janeiro said seaman accept pct pay offer compani globo flumar le employe twoweek strike come brazil face debt crisi delay export badli need earn foreign exchang labour minist almir pazzionotto said govern forc settlement strike rule illeg last friday
213,amoco say dome buy good canada amoco corp wholli own amoco canada petroleum co ltd said propos billion canadiandlr acquisit dome petroleum ltd benefit canada like foreign invest made possibl commerci develop alberta oilsand amoco canada presid staci told oilsand confer amoco canada present solut dome problem invest confid dollar determin make solut work amoco buyout debtburden dome anger canadian nationalist want canadian buyer dome staci describ amoco canada previous report share offer propos chanc increas canadian ownership countri oil ga industri pct reiter amoco plan virtual layoff dome employe also reaffirm amoco would reinvest amoco canadadom properti avail cash flow five year acquisit
214,stratum corp year dec loss shr loss dlr v loss dlr net loss mln v loss mln rev mln v eight mln
215,henley group said close five pct mln share santa fe southern pacif invest henley group said close five pct mln share santa fe southern pacif invest
216,season export report u export export follow commod start current season april comparison report usda export thousand tonn unless note prev wk wheat soybean corn x sorghum x soybean oil soybean meal cotton x tonn corn tonn sorghum ad reflect chang market year septaug
217,control asset sold hawley crime control inc said reach definit agreement subsidiari hawley group ltd buy asset assum certain liabil crime control mln dlr amount said mln dlr would avail distribut compani bank debentur holder sharehold balanc would use pay variou state tax expens relat transact establish reserv provid certain unassum oblig compani crime control said would use proce pay bank lender approxim mln dlr repres pct princip amount indebted bank lender also said would propos acquir mln dlr worth outstand pct convert subordin debentur aggreg approxim mln dlr propos liquid compani sharehold receiv estim ct share report earlier crime control default approxim mln dlr bank debt default indentur govern convert subordin debentur januari crime control instal servic monitor electron surveil system said retain rothschild inc arrang sale compani
218,barnett bank florida inc st qtr net shr ct v ct net mln v mln avg shr mln v mln
219,norsk hydro saga seek drill right gabon norwegian oil compani norsk hydro saga petroleum said appli offshor explor drill licens gabon africa west coast saga petroleum said appli pct share operatorship one block ad finnish oil compani nest pct spain hispanoil pct world bank intern financ corpor if pct join saga fill remain share applic saga spokesman roy halvorsen told reuter expect gabones offici would repli applic easter halvorsen said first time saga appli oper opecmemb gabon continent shelf ad italian oil compani agip head group applic separ bid licens norsk hydro also appli undisclos share singl explor licens u oil compani tenneco alreadi assign operatorship compani spokesman bjoern tretvol said
220,mayfair industri inc th qtr net oper shr ct v ct oper net v rev v avg shr v mth oper shr ct v ct oper net v rev mln v mln avg shr v note exclud tax gain dlr qtr year
221,japan concern ec trade threat minist japan disappoint recent threat trade retali european commun ec trade situat two improv japanes trade industri minist hajim tamura said deepli concern ec move take harsher line toward japan despit tangibl improv said speech prepar deliveri open new centr design improv understand two side last week foreign minist ec nation agre impos tariff rang unspecifi japanes electr good unless tokyo open market ec export tamura refer pct rise japanes import ec manufactur good year end march feel strong step road balanc expans deni exist trade deficit japan ec believ rectifi reduc trade import restrict export restraint expand overal trade tamura said
222,woolworth uk say growth prospect excit woolworth hold plc earlier announc pretax profit rise pct said prospect growth excit profit figur mln stg exceed forecast pct made hostil bid dixon group plc last year compani said result major step toward aim make woolworth profit retail group uk aim produc growth busi look opportun acquir specialist retail busi earlier month group said tent merger talk high street pharmacist plc call recent announc mln stg recommend offer brown car part centr plc b q centr rais sale pct retail profit pct pretax contribut mln make largest singl compon compani said improv achiev substanti organ growth exist store well open new outlet enhanc margin sector comet electr chain rais retail profit pct mln stg woolworth chain report pct improv mln compani said properti oper would increas substanti follow start joint ventur deal develop plc defenc cost billion stg bid dixon result mln stg extraordinari charg result mln stg analyst forecast result group share rose strongli peak p last night p eas p gmt
223,sugar trader forecast like ec sugar rebat london trader say european commun like award maximum rebat european currenc unit per kilo today tender trader pari predict maximum award ecu last week ec award licenc tonn rebat ecu trade view differ amount sugar like releas today london trader said ec commiss probabl endeavour releas larg tonnag much tonn may authoris export licenc endseptemb pari trader put like tonnag around
224,scheringplough corp rd qtr net shr ct v ct net mln v mln sale mln v mln nine mth shr dlr v dlr net mln v mln sale billion v billion avg shr mln v mln
225,cocoa buffer stock rule effect immedi cocoa buffer stock rule decid intern cocoa organ icco council take effect immedi deleg said mean buffer stock manag like begin buy cocoa within two three week organ commun system assess market said
226,consolid store corp th qtr jan net shr ct v ct net v sale mln v mln avg shr mln v mln year shr ct v ct net mln v mln sale mln v mln avg shr mln v mln note prior year net includ dlr tax credit share adjust twoforon stock split june
227,u export bonu poultri feed north yemen commod credit corpor ccc accept bid export bonu cover sale tonn mix poultri feed north yemen u agricultur depart said depart said feed deliveri april announc earlier bonu dlr per tonn made pillsburi compani paid form commod ccc stock addit tonn mix poultri feed still avail north yemen export enhanc program announc april said
228,italian gdp growth forecast three pct itali gross domest product gdp grow three pct real term year pct said econom inform compani data resourc europ inc dri michel girardin dri europ senior economist said confer italian gdp growth year mainli driven consumpt especi invest girardin said drive forc behind gdp growth next year shift domest demand export result expect depreci lira major currenc itali budget ministri said yesterday gdp rose pct real term dri forecast inflat averag pct five pct year interest rate drop two pct girardin said lira expect appreci pct dollar year follow last year pct appreci expect german mark appreci dollar mean lira lose six pct valu rel german currenc said dri estim foreign demand italian product grow pct year follow last year pct increas
229,harcourt brace call special meet harcourt brace jovanovich inc said call special meet juli vote increas author common share mln mln increas prefer share mln provis allow payment prefer dividend stock properti well cash compani said june record date meet harcourt fight takeov bid print commun corp plc declar special dividend common stock dlr cash pct prefer stock market valu dlr per share special dividend paid juli
